Tweets To Be Annotated,Ground_Truth_Non_Toxic,Ground_Truth_Toxicity,Ground_Truth_Severe_Toxicity,Ground_Truth_Identity_Attack,Ground_Truth_Insult,Ground_Truth_Profanity,Ground_Truth_Threat,Ground_Truth_Sexually_Explicit
im wearing a sweater and it's ike 80 degrees in my house,1,0,0,0,0,0,0,0
"For instance...Nikki said BET you won't fight her. I said bet? She said bet. Whipped a quick u-turn, whooped that ass, and went to jail &#128514;",0,1,0,1,1,1,0,0
@justezzzee your so fucking ignorant u talk a lot shit for someone who don't wanna fight your mama raised u as bitch huh?,0,0,1,0,1,1,0,0
Smoking Brooklyn got me high as giraffe pussy,0,0,0,0,0,1,0,1
@user can we expect to see more me:a during the rest of e3?   #andromeda #giveittomealready!,1,0,0,0,0,0,0,0
RT @TheDouch3: Tweeting about ur boyfriend won't get him off Xbox live that nigga gotta 24 kill streak rn bitch shut up,0,1,0,0,1,1,0,0
"@_Corayma @LuivilleSluggah TF do I look like, delivery bitch or what ahaha",1,0,0,0,0,0,0,0
"@coolieDAGGERA @CapoToHeaven why wld u wanna be a faggot, dude? That's faggot like",0,0,1,1,1,1,0,0
I got good credit. So my bitch credit gotta match mine,1,0,0,0,0,0,0,0
"bitch im DEAD!! &#128128;&#128128;&#128584; RT @KingHov1313: Them heauxs gon put balloons in a corner &amp; take pics talkin bout ""We in V.I.P""&#128553;",0,0,0,0,0,1,0,0
@user a #flower #blossoms for its own #joy. -oscar wilde #quote #trust #life #love #healthy #meditation #yoga,1,0,0,0,0,0,0,0
"I can't express how much I hate sam, he is by far hands down no questions asked my least favorite character , so bitch made #freaksandgeeks",0,0,0,1,0,1,0,0
This niggah @wherzdaBUDD is a fool,0,0,0,0,0,1,0,0
sunday brunch with brother! happy father's day jonathan Ã°ÂÂÂ   #father #day #brother #familyÃ¢ÂÂ¦,1,0,0,0,0,0,0,0
@ivanrabago_ @Buckm00se I blocked that annoying ass sand nigger claims to not be biased but yet no one can say anything about khan,0,1,0,1,0,1,0,0
"but you're an animal, baby its in your nature Ã°ÂÂÂ #girls #cute #summer #blur #sun   #fun #dogÃ¢ÂÂ¦",1,0,0,0,0,0,0,0
If you can't turn Instagram likes/follows into some real life shit #trash,1,0,0,0,0,1,0,0
&#8220;@Da_LoveBelow @bdvg_lat @DrTruth247 yall bare hoes yall dnt care bout ??&#8221; I spent my childhood in a wild hood,0,0,0,0,0,1,0,0
&#8220;@codyaveresch: Paint brushes over Bugattis #StundentPainters bitch&#8221; paint me like one of your French girls,1,0,0,0,0,0,0,0
please #america # #timwise lecture - #colorblind  via @user #trendolizer  #historicalamnesia,1,0,0,0,0,0,0,0
#allahsoil the cold war was fought over oil.   #teambts #teamsuperjunior ?¢¬Ä¬¶,1,0,0,0,0,0,0,0
"RT @allisonnamaya_: @Whitecholo23 omg Nathaniel. No ""come here mr pussy"" ""Mr pussy where are you"" lol",0,0,0,0,0,1,0,0
@keltor_wade nah dude mostly just sound like a faggot,0,1,0,1,1,1,0,0
@Swaggyb20 Johans a free agent harveys hurt you retard. and its valverde* #ignorance,0,1,0,0,1,1,0,0
"RT @JareerKassis: Charlie Rose: Can you coexist with Israel? Meshal: *Not* as occupiers. After that, national consensus will decide, not Ha&#8230;",0,1,0,1,1,1,0,0
RT @SteadmanTerri: @wheeler_kashhh Mann fuckk dat shit!!..fuckk dat bitch!! &#128514;&#128514;,0,1,0,1,1,1,0,0
I got some bitch ass coworkers. I stay late every day last week I don't complain about them mfs. They stay late they send emails that I left,0,0,0,0,1,1,0,0
&#8220;@Iamjayla__: @WB_Pooh_3x Bol that called the girl a bitch&#8221;Oharrd coo I'm both of them tho &#128526;&#128076;&#128175;,1,0,0,0,0,1,0,0
&#8220;@TeeLaydee: @JustKarahn @what_iDO yasss when a bitch get paid tho &#128514;&#128514;&#8221; as long as she dnt act crazy,0,1,0,0,0,1,0,0
Goodbye x Young Dolph featuring Trinidad James &amp; Shy Glizzy,1,0,0,0,0,0,0,0
&#8220;@NigggaPino: Splash onna bitch Wednesday tomorrow&#8221;,0,0,0,0,1,0,0,0
The Irish in #California are all white trash.,0,1,0,1,1,0,0,0
Lame niggas trash.,0,0,0,0,1,1,0,0
"RT @Positivital: somewhere between ""i need therapy"" and ""bitch, im fine""",1,0,0,0,0,0,0,0
"RT @Cliftonsings: Oi @Klitschko ya big boring cunt, Kubrats a comin'... http://t.co/mg2Sre0Jr8",0,1,0,1,1,1,0,0
I give my niggas hope and sell these bitches dreams!,1,0,0,0,0,1,0,0
I feel bad for all you bitches that have never been to Disney World &#127984;&#128081;,1,0,0,0,0,1,0,0
Mane if dis nicca call me 1 mo time n say he Finna pull up but dnt pull up,0,1,0,1,1,1,1,0
All these bitches wanna fuck on a thug,0,1,0,0,0,1,0,0
Forgiato Fest in Dallas this year fuck yeah bitch,1,0,0,0,0,1,0,0
"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",1,0,0,0,0,0,0,0
@user awesome. black man gets kkk members to disavow by befriending them   #blacklivesmatter,0,0,0,0,0,0,0,0
My nig jus found out his girl fuckin anotha nig so he meets up wit dis nigga.....,0,1,0,1,1,1,0,0
"&lt;breakfast with dad&gt; #familytime #selfie #motd #look #instagood   @ charlotte, noh carolina",1,0,0,0,0,0,0,0
"&#8220;@gallinofmilk: I'm a faggot"" I agree",0,0,0,0,0,1,0,0
"Fuccn yo bitch last night she say ""you the nigga!!'",0,1,0,0,0,1,0,0
RT @macktology101: You hoes getting outta hand http://t.co/jZ2WRvaXaI,1,0,0,0,0,0,0,0
@user celebrate the way you want when you sell things on kijiji.    #confetti,1,0,0,0,0,0,0,0
Kae &amp; Chris coming for yall bitches as a couple &#10084;&#65039;&#128076;,1,0,0,0,0,0,0,0
Josef just pitted. Slight possibility he can make it the remaining 67 laps but I highly doubt it. Will need yellow. #IndyFest,1,0,0,0,0,0,0,0
"&#8220;@BIGHOMIEMARKIE: &#8220;@1017_Sqquad: &#8220;@TODDIE_soPLAYER: @_Raygine bitch get out dem feelings and get some new dick&#128514;&#128514;&#128514; ""&#128064;&#128550;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128128;&#8221;&#128514;&#128514;&#8221;&#128128;&#128128;&#128128;&#128514;",0,0,0,0,0,0,0,1
@noturavurage You can roll? And what you got to eat? Barter system my nig!,0,1,0,0,0,1,0,0
RT @Mr_JSmart24: Twitter was fye when niggas used to go in on Trending Topics&#8230;now its just recycled tweets and hoes screaming they want loy&#8230;,0,0,0,0,0,1,0,0
@laceeybugg atleast i dont have dick breath you twat licker,0,1,0,1,1,1,0,1
Not allowed to play flappy bird around grandma because she swears at me to stop swearing lol,1,0,0,0,0,0,0,0
@delaney_guinan you did a good job doing that to me and not texting back faggot,0,1,0,0,0,1,0,0
I don't love you hoes.,1,0,0,0,0,0,0,0
@Duckin_Fope thats a win right there. any nigga who doesnt partake in that is a faggot. even if they dont smoke.,0,1,0,1,1,1,0,0
r.i.p. my old iphone Ã°ÂÂÂ¥Ã°ÂÂÂ #iphone #facwbook #instagram #twitter #whatsapp #amywinehouse   Ã°ÂÂÂ¢,1,0,0,0,0,0,0,0
"I got a Lambo, 2 doors. 2 seater, 2 hoes.. Yokohamas, no vogues. Man that bitch beautiful. - @jesus",1,0,0,0,0,1,0,0
did you know probiotics help you maintain digestive balance? stock up w/ #alignatsams  @user #ad   #tummy,1,0,0,0,0,0,0,0
"@AmericanWhiteHM Those niggers disgust me. They should have dealt with 100 years ago, we wouldn't be having these problems now.",0,1,0,1,1,1,0,0
well i want to be Victoria's Secret dyke angel&#128124;&#128149;,1,0,0,0,0,0,0,0
Only a broke nigga gonna settle for a broke bitch,0,0,0,0,0,1,0,0
"@jacquibreed ok, I'll sink to your level... you're a special kind of bitch aren't you? @conserv_tribune",0,0,0,0,1,0,0,0
"If she know yo name way before you meet her, then dat bitch a EATTA!",1,0,0,0,0,1,0,0
@regankelly91 go the gulls. First grade should be a cracker. Physical!,1,0,0,0,0,0,0,0
"I'm a funky ass honkey. - @jtimberlake 's shout out to @macklemore tonight before ""Cabaret"" &#128514; #JT2020Tour",1,0,0,0,0,0,0,0
"""@VineForTheByrd: On my way to fuck your bitch https://t.co/4lMTFNL2iy""LMFAO KITTYCOPTER",0,1,0,1,1,1,1,1
new video shows how  this guy  and how he staed to abuse and humiliated an muslim guyâ¦,0,0,1,1,0,0,0,0
@RunuldoRants faggot sack,0,1,0,0,1,1,0,0
RT @fatandfly88: Bitches talking bout dey bout ta chill out on going out you bitches just saying dat cause its getting cold and u bitches d&#8230;,1,0,0,0,0,1,0,0
"Bitch don't talk yo shit then, say you on papers when a bitch trinna get down &#9995;&#128514;&#128557; you a straight FAG BITCH foe dat. Scary ass hoe.",0,0,0,0,0,1,0,0
&#8220;@MrDelightfullll: I've sounded like a fag the last few days &#128584;&#128513;&#128513;&#8221; your emotions are inspiring &#128150;,1,0,0,0,0,0,0,0
"Do we love these hoes?&#128514; &#128514; &#128514;&#128514;&#128514;&#128514;&#128514; &#128514; &#128514; &#128514;&#128514; &#128514; &#128514; &#128514; &#128514;&#128514; &#128514;&#128514; &#128514; &#128514;&#128514; &#128514; &#128514;&#128514;&#128514;",1,0,0,0,0,1,0,0
Lmfao all bitches is hoes then,0,1,0,1,1,1,0,0
RT @Alex_Alfarkh: I'm a pussy,1,0,0,0,0,1,0,0
RT @hollygolawly: Can't wait to eat #metropole @21cCincinnati and see my @21cLouisville friends! Bring on those damn yellow penguins!#ro ...,0,0,0,0,0,1,0,0
Now don't you hate them ol... Lyin ass hoes... Smilin in ya face wearin her best friends clothes,1,0,0,0,1,1,0,0
Put her in her place cause pussies don't get pussy..,0,0,1,1,1,1,0,1
@demimariemorin well im sure im not fully retarded #imustbestupid:(,1,0,0,0,0,1,0,0
RT @Ronesha__: When I feel like he entertaining these hoes I just fall back even harder than before &#128175;,1,0,0,0,0,1,0,1
"@ThequeenSOxILL I'd rather ask yours, is she a nappy headed hoe too? And is your grandma as well? I'd be ashamed to be in your family.",0,0,1,1,1,1,0,0
I''d put a bullet in that bitch...,0,1,0,0,0,1,1,0
Two days gone she been gone so long you can't get her on the phone cuz that bitch done been wit meeeeee,0,0,0,0,0,1,0,0
@Dswizzle3 bitch i dont even look like that keep talking and we going to fight,0,0,0,0,0,1,1,0
liveÃ°ÂÂÂ¤  #joyrich#supreme#timberland#forever21#ma1#nike#adidas#converse#nohface#wego#love #dÃ¢ÂÂ¦,1,0,0,0,0,0,0,0
Photo: anarcho-queer: &#8220;Anarchism stands for a social order based on the free grouping of individuals for... http://t.co/Iy6Gro4t8Z,1,0,0,0,0,0,0,0
"@_womanoverboard ""nigger""",1,0,1,1,0,1,0,0
nothing humorous about your jibes u #arrogant   trump official paladino under fire over crude obama remarks -,0,0,0,1,1,0,0,0
"RT @ComedyPosts: When you make a joke and someone you hate laughs and you're thinking: ""No bitch you aren't allowed to laugh"".",1,0,0,0,0,0,0,0
"RT @1deep_williard: ""@1017_Sqquad: Come out her pussy and go in her ass come out her ass and go in her mouth"" that way she won't tell nobod&#8230;",0,0,1,0,0,1,1,1
glass crystal s... gbp 12.99 get here:  #shop #cool   #home #fun,1,0,0,0,0,0,0,0
@Lvl_7_Eevee @UnicornCowboy @hisorraya I'll trade you one car drift for brownies.,1,0,0,0,0,0,0,0
very   to share my new look #website. love how it looks!  #photography #weddings #nohants #nohampton,1,0,0,0,0,0,0,0
Me. RT @OfficialCNote: coolin with all my hoes http://t.co/vCME41IsMg,1,0,0,0,0,0,0,0
@ChandailBailey way to delete your tweets you stanky bitch,0,1,0,0,1,1,0,0
RT @AdoreBellaaa: Never trippin on no hoes,1,0,0,0,0,0,0,0
Time hop makes me realize how much off a faggot I was lol,0,0,0,0,0,1,0,1
RT @LilReese300: Errday I take chances real street nigga shit take chances by fuckin wit u nothin ass hoes sumtime lol...#300,0,1,0,0,0,1,0,0
Ã¢ÂÂ #united kingdom claimant count change below expectations (0k) in may: actual (-0.4k)   #blog #silver #gold Ã¢ÂÂ¦,1,0,0,0,0,0,0,0
"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",0,1,0,1,1,1,0,1
If y'all preppy bitches ever arguing like this at a party and don't do nothing y'all getting hit with a bottle fr,0,0,0,0,0,1,0,0
@Gethenian ffffffffffffuck. Baratheon rebellions are a bitch.,0,0,0,0,0,1,0,0
RT @TiaraSoBoojie: All the main bitches are getting kicked to the curve lol,0,1,0,0,0,0,0,0
As a man ... I feel like you a bitch if you living off a female . Havin her buy all yo shit fucc that never be dependent on someone,0,1,0,1,1,1,0,0
"http://t.co/4YyVxESnUR

The far left looks the best if you ask me, bitches try too hard. Just be yourself, especially if you're thick",1,0,0,0,0,1,0,0
@_RenaissanceJay get the loredo steak. Out dat bitch if u ballin,1,0,0,0,0,1,0,0
@user now offering a 45-70 rolling block rifle along with a .357 and .44 mag. #madeinusa,1,0,0,0,0,0,0,0
Sometimes I just want someone to bitch to about a shitty day,1,0,0,0,0,0,0,0
"RT @sblmnl_crmnl: @woods_lamar shut your nigger ass, lamar",0,0,1,0,1,1,0,0
Motherfuckas tryna hate on my whip acting like they got cooler interior/light up speakers hell nah bitch boys http://t.co/trbopWKAug,0,0,0,0,0,1,0,0
chick gets fucked crazy european sex,0,1,0,0,0,1,0,1
"WE SALUTE THE VETS &#8211; Tuesday Jihadi Bitch Slaying: MK-48, M203&#8217;s Fired At Taliban Cockroaches Du... http://t.co/1cK21ivEUp #tcot #pjnet",0,0,0,0,0,0,1,0
RT @ReeseZamora: @daxmw23 Dax we don't love these hoes,0,0,0,0,0,1,0,0
RT @hiagokoury: Lmao what my nigga just told me &#128514;&#128514;&#128514;hoes these days... They lovin the crew gd,1,0,0,0,0,1,0,0
"I'm literally laughing in shock, amazement, joy. In...just everything. In everything! Pop the champagne American queers. We have arrived.",0,1,0,1,1,1,0,0
It pissrs me tf off when I call you back a half a second later nd you dont answer. You a bitch ass nigga for that,0,1,0,0,1,1,0,0
"Wiz need to go back to the ""yeahhhhhhh bitch"" ""OKKKK"" wiz",0,0,0,0,0,1,0,0
today's best deals | $29-frontier airlines | cheap fares- #fall   travels??¬ü¬ö¬Ü??¬ü¬ö¬ò??¬ü¬ö¬¢??¬ü¬ö¬â??¬ü¬ö¬ñ??¬ü¬ö¬Å??¬ü¬ö¬Ä,1,0,0,0,0,0,0,0
RT @RosieZaya1: Ur fucking white trash,0,1,0,1,1,1,0,0
Niggaz irrational these days...Quick to jump bad bout a bitch...,0,0,0,0,1,1,0,0
like a slow death &#8220;@iSell_Pussy4EBT How does it feel to have a shit load of nudes to fap to but not one bitch to fuck?&#8221;,0,1,0,0,0,0,0,1
the amazing power of the four agreements    #success #people #fouragreements,1,0,0,0,0,0,0,0
I could b out here like some of these chicks...in the streets slingin pussy for a couple dollars but im not,0,0,0,0,0,0,0,1
RT @TheNotoriousD_: like fuccck man why yall bitches wearing wigs to school ?,0,0,0,0,1,1,0,0
This girl is the nastiest skank bitch I've ever met. DO NOT TRUST HER. She is a fugly slut http://t.co/7sU1UIFUNS,0,0,1,1,1,1,0,1
So many shady bitches. THE SECRET THIRST IS ALIVE,0,0,0,0,0,1,0,0
"@IvanJ_Reyes, um no that only a fuck you bitch and done xavier will hopefully respect girls bc I am doing it alone and I don't want that",0,0,0,0,0,1,0,0
@aasthaxoxo oh shut your mouth i was talkin about the morning you fag,0,1,0,1,1,1,0,0
RT @CP24: Reports say female victim was shot while waiting for an Oreo McFlurry,1,0,0,0,0,0,0,0
Why can't you be humble like your moms and not hoes,0,1,0,0,1,1,0,0
@TomMahoney91 what now bitch,0,1,0,0,1,1,0,0
bitch I need that body high do not fuck wit my head pleeeease,1,0,0,0,0,1,0,0
&#8220;@LuaBoo: Niggas over 6'2 with long ass monkey arms make the best cuddle buddies....so I heard&#8221; ahaha a female told me this once&#128514;&#128514;&#128514;,1,0,0,0,0,0,0,0
@EverybodyHatesX shut up bitch and focus on that L tomar,0,1,0,0,0,1,0,0
"@user @user @user @user the real  and #antisemites are @user and the #progressive minions, not freedom loÃ¢ÂÂ¦",1,0,0,0,1,0,0,0
"I'm surprised I'm still at school tbh, I can be quite the retard at times. I'm either exceptional at a subject or absolute shiteee.",0,0,1,0,0,0,0,0
RT @BroCulture: Dive in the pussy like http://t.co/0YboIklkbt,1,0,0,0,0,1,0,1
RT @Brit_Stratton: Justification of my bitch face. Thanks @zzachbarness. http://t.co/A6giLjeE4x,1,0,0,0,0,0,0,0
RT @z0mbiedance: who let gabby get drunk off of her ass? give that bitch bread...bitches love bread.,0,0,0,0,1,1,0,0
"#nosurprise @user #performing @ #trumpinauguration, #mormonism has  &amp; #polygamist roots; kin to #adultery. #moneyovermorals",1,0,0,0,0,0,0,0
RT @J4CKMULL: 1 good girl is worth 1000 bitches,0,1,0,0,0,1,0,0
@CayMarieee bitch you still subtweets but not replying though &#128514;&#128557;&#128524;,1,0,0,0,0,1,0,0
RT @KxRxSxB: Superman. Man of steel - emotions of bitch. #truestory,1,0,0,0,0,1,0,0
"LOL &#128514;&#128557; I just remember that same bitch said she liked my hair then asked ""is it yours?"" Smfh #wut #yes ...",1,0,0,0,0,1,0,0
"We don't want yo bitch mane, we just wanna have fun with her.",0,0,0,0,0,1,0,0
"@user bihday jusu bar #coldpressed popsicle #poolpay. keep your kids   and #healthy!  happy friday, everyone!",1,0,0,0,0,0,0,0
Fucc u primo aint nobody ask u 2 fav dink lies,0,1,0,0,0,1,0,0
"yo bitch bitch gone let me fuck tonight
thursty Thursday at the WesGod cave",0,0,0,0,0,0,0,1
why are white people #expats when the rest of us are #immigrants? #socialclass #money  #privilege,1,0,0,0,0,0,0,0
Outside with dah fuckin yardie eh,0,0,0,0,0,0,0,0
fo woh pastors say officer's acts in viral video arrests were racist,0,1,0,1,1,1,0,0
i won't look no fuher! #love   #sheisinallsecretagamer,1,0,0,0,0,0,0,0
all dayer with the girls drinking in weston with the air show going on #ifcarlingdidperfectdays #redarrows #typhoon,1,0,0,0,0,0,0,0
 August Alsina Deserved that &#1043323;&#1043323;&#1043358; My niggah .,0,1,0,0,0,1,0,0
Had to touch a yung nicca up real quicc last nite &#128514;&#128514;,1,0,0,0,0,1,0,0
Awwwwww they no Kaep ain't rape no bitch!!!!,1,0,0,0,0,1,0,1
Chillin in the hood with my retarded ass homegirl. I feel at home.,0,0,0,0,1,0,0,0
@user d pti does not know it,1,0,0,0,0,0,0,0
cant fuck around wit young niggas cause they be acting like hoes,0,1,0,0,1,1,0,0
I think I found a normal roommate again! Praise be to Jesus! These current ones are about to get their throats slit in their sleep!,0,0,0,0,0,0,1,0
speaking of  in #science and #medicine... Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ  cc @user,1,0,0,0,0,0,0,0
Sgp still in bitches dms,1,0,0,0,0,1,0,0
RT @mmpfeiI: fuck your gpa bitch im a lot smarter than you,0,1,0,0,1,1,0,0
"RT @FunnyOrTips: ugly people: taken &#128143; 

nerds: taken &#128143; 

hoes: taken &#128143; 

everybody: taken &#128143; 

me: &#128694;",1,0,0,0,0,0,0,0
today is a good dayÃ°ÂÂ¤ÂÃ¢ÂÂ¤Ã¯Â¸ÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ¼ #optimist   #love #music,1,0,0,0,0,0,0,0
@DangItsTiff you look like fucking shrek bitch,0,1,0,1,1,1,0,0
@KEIRRANicolee I didn't know you was following me hoe &#128514;,0,1,0,0,1,1,0,1
I got more trust in drugs then these dumb ass bitches,0,1,0,0,0,1,0,0
"@Bitterchick 
Dat means get the fuck out hoe I be thinkin",1,0,0,0,0,0,0,0
Most niccas broke but always n the limelight,0,0,0,0,0,1,0,0
"RT @PluggedInPiff: @ThoughtsOfRandy stop following ""bad bitches"" and ya won't get spammed",0,0,0,0,0,1,0,0
RT @LakersTV: VIDEO: @kobebryant on talking trash while facing @NickSwagyPYoung during today&#8217;s scrimmage &#8211; http://t.co/3njZFytc1R http://t.&#8230;,1,0,0,0,0,0,0,0
stop calling @user ! i've met him. bbc is more  than he. he's got big work ahead. @user @user,0,1,0,1,1,1,0,1
&#8220;@_BeautifulKeezy: im so winning. &#128525;&#128525;&#128525; http://t.co/Jf6U54CMW3&#8221;&#128514;&#128514;&#128514; bitch,0,0,0,0,1,0,0,0
"wanna make a boss happy? &#128527;bitch talk nasty. &#128540;",1,0,0,0,0,1,0,0
@MissBrionline @LanipopChicago @RealYdotGdot My mfn BIRTHDAY!!! Pink Champaign in dat bitch!!!,1,0,0,0,0,0,0,0
No this bitch @Cee_Murda94 did not yell down the steps to tell me don't eat her damn chicken.&#128514;&#128514; tf,0,0,0,0,0,1,0,0
Thirsty ass bitch don't sweat me,0,0,0,0,0,1,0,0
@jeffjam @toddgunter @cgoodwoman They do. Why else do teachers constantly bitch about pay?,0,0,0,0,0,1,0,0
&#8220;@CommonBlackGirI: bitch that's ham on her face http://t.co/vSRAyShD5Y&#8221; @rachel_dority,1,0,0,0,0,1,0,0
@CallNeeshCakey I can't bitch,1,0,0,0,1,1,0,0
@user #treasonoustrump #trumpleaks trump #misogynisttrump  frnds @user and now this,1,0,0,0,0,0,0,0
They call me chief weak bitch,0,1,0,0,0,1,0,0
@user john terry just chose white christmas as his favourite christmas song on @user no surprise there.,0,0,0,1,0,0,0,0
This is EXACTLY why I don't tell this bitch SHIT !,1,0,0,0,0,1,0,0
